,carat,cut,color,clarity,depth,table,x,y,z,clarity_scale,price_predict
45,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,9,396.0768638959264
46,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,6,1735.2324568040262
47,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,8,756.618754294261
48,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,6,859.6307229794993
49,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,5,756.618754294261
50,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,7,550.5948169237838
51,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,5,859.6307229794993
52,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,9,2662.340174971172
53,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,6,653.6067856090224
54,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,6,1580.7145037761684
55,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,5,1632.2204881187877
56,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,7,1992.7623785171218
57,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,10,550.5948169237838
58,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,9,1014.1486760073569
59,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,6,602.1008012664031
60,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,7,3640.9538774809375
61,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4,3177.4000183973644
62,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,4,2610.8341906285527
63,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,6,962.6426916647376
64,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,5,2662.340174971172
65,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,6,2662.340174971172
66,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,7,3640.9538774809375
67,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,4,2816.85812799903
68,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,7,1168.6666290352146
69,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,6,1065.6546603499764
70,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,5,2610.8341906285527
71,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,6,2610.8341906285527
72,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,8,1117.1606446925953
73,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,6,1220.1726133778338
74,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,4,602.1008012664031
75,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,6,705.1127699516417
76,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,6,2610.8341906285527
77,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,8,705.1127699516417
78,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,6,1632.2204881187877
79,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,6,1683.726472461407
80,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,8,190.0529265254495
81,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,5,1580.7145037761684
82,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,7,550.5948169237838
83,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,7,1477.7025350909298
84,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,8,602.1008012664031
85,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,10,1065.6546603499764
86,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,6,2662.340174971172
87,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,8,499.0888325811645
88,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,7,2816.85812799903
89,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,6,1168.6666290352146
90,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,5,1786.7384411466455
91,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,6,1632.2204881187877
92,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,7,2765.3521436564106
93,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,5,705.1127699516417
94,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,7,602.1008012664031
95,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,10,190.0529265254495
96,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,7,808.12473863688
97,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,8,1838.2444254892648
98,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,5,3640.9538774809375
99,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,9,2713.8461593137913
100,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,5,3280.411987082602
101,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,6,2662.340174971172
102,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,5,1220.1726133778338
103,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,6,705.1127699516417
104,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,5,1683.726472461407
105,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,7,550.5948169237838
106,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,7,705.1127699516417
107,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1,2610.8341906285527
108,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,6,550.5948169237838
109,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,7,2044.268362859741
110,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,5,3228.9060027399833
111,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,8,1014.1486760073569
112,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,10,602.1008012664031
113,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,7,1889.750409831884
114,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,9,602.1008012664031
115,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,8,1889.750409831884
116,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4,3949.9897835366523
117,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,5,1683.726472461407
118,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,8,447.5828482385457
119,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,7,2610.8341906285527
120,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,9,2610.8341906285527
121,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,6,1992.7623785171218
122,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,7,1786.7384411466455
123,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,6,1683.726472461407
124,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1,2610.8341906285527
125,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,7,2610.8341906285527
126,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,5,1168.6666290352146
127,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,7,602.1008012664031
128,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,8,1271.6785977204531
129,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,8,2610.8341906285527
130,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1,2610.8341906285527
131,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,5,1735.2324568040262
132,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4,3743.965846166176
133,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,6,2662.340174971172
134,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,4,1941.2563941745025
135,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,6,2662.340174971172
136,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,5,3589.447893138318
137,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4,3434.9299401104604
138,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,5,2610.8341906285527
139,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,1,3795.471830508795
140,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,9,705.1127699516417
141,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,6,3640.9538774809375
142,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,7,2662.340174971172
143,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,5,3177.4000183973644
144,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,9,2868.3641123416487
145,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,6,1065.6546603499764
146,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,6,756.618754294261
147,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,6,808.12473863688
148,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,5,1426.1965507483105
149,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,5,2662.340174971172
150,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4,3743.965846166176
151,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,9,602.1008012664031
152,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,9,550.5948169237838
153,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,5,2610.8341906285527
154,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,7,3640.9538774809375
155,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,8,190.0529265254495
156,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,8,293.06489521068784
157,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,8,808.12473863688
158,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,4,2765.3521436564106
159,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,10,1065.6546603499764
160,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,6,550.5948169237838
161,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,4,1632.2204881187877
162,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,5,1632.2204881187877
163,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,7,2610.8341906285527
164,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,6,1683.726472461407
165,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,6,602.1008012664031
166,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,5,3640.9538774809375
167,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,6,1889.750409831884
168,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,5,3125.8940340547456
169,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,5,550.5948169237838
170,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,6,2919.870096684268
171,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,5,2610.8341906285527
172,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,6,1735.2324568040262
173,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,7,1374.6905664056917
174,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,10,1117.1606446925953
175,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,6,911.1367073221186
176,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,4,1992.7623785171218
177,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,5,2713.8461593137913
178,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,9,1117.1606446925953
179,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,9,962.6426916647376
180,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,9,808.12473863688
181,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,6,550.5948169237838
182,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,8,911.1367073221186
183,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,8,1014.1486760073569
184,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,5,1580.7145037761684
185,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,6,602.1008012664031
186,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,6,962.6426916647376
187,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,9,602.1008012664031
188,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,5,2610.8341906285527
189,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,9,705.1127699516417
190,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,8,344.5708795533071
191,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,5,1168.6666290352146
192,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,5,2610.8341906285527
193,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,6,3898.4837991940335
194,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,4,653.6067856090224
195,0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,10,447.5828482385457
196,0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,7,1065.6546603499764
197,0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,6,550.5948169237838
198,0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,6,1838.2444254892648
199,0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,9,705.1127699516417
200,0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,7,499.0888325811645
201,0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,7,2610.8341906285527
202,0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,4,1014.1486760073569
203,0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,6,1683.726472461407
204,0.3,Very Good,F,VVS1,61.0,57.0,4.33,4.36,2.65,9,550.5948169237838
205,0.32,Ideal,E,VVS1,60.9,57.0,4.42,4.45,2.7,9,653.6067856090224
206,0.32,Premium,G,VS2,61.0,59.0,4.42,4.46,2.71,6,653.6067856090224
207,0.2,Premium,D,VS2,61.7,60.0,3.77,3.72,2.31,6,35.534973497591864
208,0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5,6,2610.8341906285527
209,0.53,Ideal,E,VS1,61.5,57.0,5.22,5.25,3.22,7,1735.2324568040262
210,0.71,Ideal,I,VVS1,62.4,55.0,5.69,5.76,3.57,9,2662.340174971172
211,0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,8,1065.6546603499764
212,0.37,Ideal,I,SI1,60.7,60.0,4.6,4.62,2.8,5,911.1367073221186
213,0.37,Premium,F,VS2,60.5,59.0,4.62,4.67,2.81,6,911.1367073221186
214,0.64,Good,H,VS1,61.8,60.3,5.47,5.53,3.4,7,2301.7982845728375
215,0.51,Very Good,J,SI1,63.3,56.0,5.12,5.02,3.21,5,1632.2204881187877
216,0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,6,1735.2324568040262
217,0.31,Premium,E,VVS1,62.0,59.0,4.34,4.3,2.68,9,602.1008012664031
218,0.36,Ideal,G,VVS1,60.0,56.0,4.66,4.69,2.81,9,859.6307229794993
219,0.31,Premium,H,VS1,61.4,61.0,4.36,4.33,2.67,7,602.1008012664031
220,0.77,Premium,G,VVS2,60.8,59.0,5.96,5.92,3.61,8,2971.3760810268873
221,0.45,Very Good,E,SI2,63.2,54.0,4.94,4.82,3.09,4,1323.1845820630724
222,0.57,Ideal,F,SI2,62.2,53.0,5.34,5.4,3.34,4,1941.2563941745025
223,0.71,Fair,G,SI2,65.6,61.0,5.46,5.37,3.55,4,2662.340174971172
224,0.72,Ideal,H,SI2,61.8,55.0,5.79,5.76,3.57,4,2713.8461593137913
225,0.55,Ideal,H,IF,61.9,56.0,5.26,5.34,3.26,10,1838.2444254892648
226,0.32,Premium,H,VS1,61.6,59.0,4.37,4.39,2.7,7,653.6067856090224
227,0.94,Premium,E,SI2,62.4,58.0,6.33,6.26,3.93,4,3846.9778148514138
228,0.6,Good,E,VS1,58.1,63.0,5.53,5.63,3.24,7,2095.7743472023603
229,0.52,Very Good,I,VVS2,61.9,56.0,5.16,5.18,3.2,8,1683.726472461407
230,0.3,Ideal,H,IF,62.2,54.0,4.34,4.37,2.71,10,550.5948169237838
231,0.42,Premium,G,SI1,61.7,58.0,4.8,4.76,2.95,5,1168.6666290352146
232,0.33,Ideal,G,IF,61.7,55.0,4.45,4.47,2.75,10,705.1127699516417
233,0.33,Premium,H,IF,61.7,59.0,4.45,4.43,2.74,10,705.1127699516417
234,0.52,Premium,G,VVS2,61.2,59.0,5.14,5.16,3.15,8,1683.726472461407
235,0.43,Premium,G,VVS1,60.9,58.0,4.88,4.91,2.98,9,1220.1726133778338
236,0.51,Ideal,E,VS1,60.9,56.0,5.16,5.22,3.16,7,1632.2204881187877
237,0.3,Premium,H,VVS2,61.0,61.0,4.32,4.3,2.63,8,550.5948169237838
238,0.31,Ideal,E,VS1,61.8,56.0,4.33,4.34,2.68,7,602.1008012664031
239,0.4,Ideal,I,VS1,61.2,56.0,4.76,4.82,2.93,7,1065.6546603499764
240,0.7,Premium,D,SI1,58.8,59.0,5.86,5.84,3.44,5,2610.8341906285527
241,0.33,Premium,H,VS1,61.5,58.0,4.39,4.46,2.72,7,705.1127699516417
242,0.74,Good,H,VS2,57.5,57.0,5.94,6.01,3.44,6,2816.85812799903
243,0.42,Ideal,F,VVS1,62.0,55.0,4.8,4.84,2.99,9,1168.6666290352146
244,0.41,Ideal,G,VS1,61.6,57.0,4.77,4.74,2.93,7,1117.1606446925953
245,0.39,Ideal,F,VS1,62.3,57.0,4.65,4.69,2.91,7,1014.1486760073569
246,0.33,Ideal,E,VS2,61.5,55.0,4.47,4.5,2.76,6,705.1127699516417
247,0.71,Ideal,G,VVS2,61.5,57.0,5.73,5.75,3.53,8,2662.340174971172
248,0.5,Premium,G,SI1,62.2,60.0,5.07,5.03,3.14,5,1580.7145037761684
249,0.36,Ideal,E,VVS2,61.9,55.0,4.57,4.61,2.84,8,859.6307229794993
250,0.34,Ideal,F,VVS1,61.7,55.0,4.51,4.5,2.78,9,756.618754294261
251,0.72,Ideal,E,SI2,62.3,54.0,5.75,5.78,3.59,4,2713.8461593137913
252,0.43,Premium,F,VVS1,60.3,58.0,4.88,4.91,2.95,9,1220.1726133778338
253,0.9,Premium,I,VS2,61.8,59.0,6.15,6.21,3.82,6,3640.9538774809375
254,0.52,Very Good,E,VS2,62.3,57.0,5.1,5.17,3.2,6,1683.726472461407
255,0.4,Ideal,D,VVS2,61.3,56.0,4.78,4.75,2.92,8,1065.6546603499764
256,0.31,Ideal,F,VS2,62.3,57.0,4.34,4.3,2.69,6,602.1008012664031
257,0.43,Ideal,F,IF,62.0,56.0,4.87,4.84,3.01,10,1220.1726133778338
258,0.54,Ideal,E,VS1,62.0,56.0,5.26,5.23,3.25,7,1786.7384411466455
259,0.65,Premium,D,VVS2,59.9,58.0,5.69,5.63,3.39,8,2353.3042689154568
260,0.71,Good,I,VVS2,63.6,57.0,5.69,5.66,3.61,8,2662.340174971172
261,0.31,Good,F,VS2,63.9,56.0,4.29,4.32,2.75,6,602.1008012664031
262,0.51,Very Good,E,VS2,61.3,60.0,5.11,5.16,3.15,6,1632.2204881187877
263,0.6,Ideal,H,SI2,61.7,54.0,5.44,5.48,3.37,4,2095.7743472023603
264,0.52,Ideal,G,SI1,62.6,56.0,5.16,5.13,3.22,5,1683.726472461407
265,0.3,Ideal,E,VVS2,61.7,55.0,4.31,4.28,2.65,8,550.5948169237838
266,0.7,Very Good,E,VS2,61.2,59.0,5.69,5.72,3.49,6,2610.8341906285527
267,0.9,Ideal,E,VS2,62.1,57.0,6.15,6.18,3.83,6,3640.9538774809375
268,0.31,Ideal,F,SI1,62.3,56.0,4.32,4.35,2.7,5,602.1008012664031
269,0.39,Ideal,G,SI1,61.4,55.0,4.7,4.74,2.9,5,1014.1486760073569
270,0.7,Ideal,E,VS2,61.4,57.0,5.76,5.8,3.55,6,2610.8341906285527
271,0.53,Ideal,F,VS2,61.3,55.0,5.22,5.25,3.21,6,1735.2324568040262
272,0.53,Premium,H,SI1,59.4,60.0,5.26,5.24,3.12,5,1735.2324568040262
273,0.77,Ideal,F,SI1,61.5,56.0,5.89,5.95,3.64,5,2971.3760810268873
274,0.33,Premium,H,VS2,60.4,60.0,4.52,4.48,2.72,6,705.1127699516417
275,0.41,Ideal,F,VS2,60.0,56.0,4.82,4.88,2.91,6,1117.1606446925953
276,0.3,Ideal,F,VS2,62.1,55.0,4.26,4.31,2.66,6,550.5948169237838
277,0.74,Premium,E,VS2,62.7,58.0,5.77,5.72,3.6,6,2816.85812799903
278,0.55,Very Good,E,SI1,64.2,55.0,5.18,5.2,3.33,5,1838.2444254892648
279,0.51,Ideal,E,VS1,62.0,57.0,5.11,5.15,3.18,7,1632.2204881187877
280,0.55,Very Good,E,VVS2,60.8,55.0,5.26,5.33,3.22,8,1838.2444254892648
281,0.32,Ideal,E,VS2,60.2,57.0,4.51,4.46,2.7,6,653.6067856090224
282,0.31,Premium,D,SI1,62.1,58.0,4.33,4.3,2.68,5,602.1008012664031
283,0.34,Premium,F,VS2,60.7,60.0,4.5,4.46,2.72,6,756.618754294261
284,0.32,Ideal,G,VS1,61.9,55.0,4.43,4.39,2.73,7,653.6067856090224
285,0.7,Very Good,I,SI2,58.8,60.0,5.8,5.83,3.42,4,2610.8341906285527
286,0.31,Premium,E,VS1,61.9,58.0,4.31,4.32,2.67,7,602.1008012664031
287,0.73,Premium,F,SI2,59.5,62.0,5.89,5.84,3.49,4,2765.3521436564106
288,0.32,Ideal,G,IF,62.9,55.0,4.41,4.37,2.76,10,653.6067856090224
289,0.5,Ideal,H,SI1,61.9,56.0,5.08,5.13,3.16,5,1580.7145037761684
290,0.52,Very Good,G,SI1,63.3,57.0,5.11,5.08,3.22,5,1683.726472461407
291,0.73,Ideal,G,SI1,62.1,54.0,5.81,5.76,3.59,5,2765.3521436564106
292,0.53,Ideal,G,VS1,61.5,57.0,5.26,5.21,3.22,7,1735.2324568040262
293,0.34,Ideal,E,SI1,62.9,56.0,4.48,4.45,2.81,5,756.618754294261
294,0.54,Ideal,H,SI1,61.0,56.0,5.24,5.28,3.21,5,1786.7384411466455
