,carat,cut,color,clarity,depth,table,x,y,z,carat_range,price_predicted
39,0.89,Very Good,I,VS2,63.1,55.0,6.09,6.17,3.87,bucket_2,3776.626413940691
40,0.81,Ideal,I,VS2,62.4,54.8,5.98,6.01,3.75,bucket_2,3776.626413940691
41,0.9,Premium,J,SI1,62.8,59.0,6.13,6.03,3.82,bucket_2,3776.626413940691
42,0.8,Ideal,I,VS1,61.9,54.1,5.92,5.98,3.69,bucket_2,3776.626413940691
43,0.9,Premium,F,SI2,60.5,57.0,6.23,6.2,3.76,bucket_2,3776.626413940691
44,0.8,Ideal,F,SI1,62.4,57.0,5.9,5.87,3.67,bucket_2,3776.626413940691
45,0.9,Premium,F,SI2,62.3,57.0,6.18,6.15,3.84,bucket_2,3776.626413940691
46,0.9,Ideal,F,VS2,60.5,54.0,6.22,6.17,3.75,bucket_2,3776.626413940691
47,0.9,Very Good,D,SI2,60.3,63.0,6.22,6.12,3.72,bucket_2,3776.626413940691
48,0.9,Premium,G,VS2,61.5,60.0,6.16,6.13,3.78,bucket_2,3776.626413940691
49,0.77,Ideal,D,SI1,62.3,56.0,5.84,5.87,3.65,bucket_2,3776.626413940691
50,0.9,Very Good,F,SI2,61.1,54.0,6.27,6.29,3.84,bucket_2,3776.626413940691
51,0.85,Ideal,E,VS2,59.3,57.0,6.19,6.22,3.68,bucket_2,3776.626413940691
52,0.9,Very Good,I,SI2,60.4,58.0,6.25,6.31,3.79,bucket_2,3776.626413940691
53,0.91,Premium,E,SI1,62.4,57.0,6.23,6.11,3.85,bucket_2,3776.626413940691
54,0.9,Ideal,G,SI1,60.8,58.0,6.2,6.29,3.8,bucket_2,3776.626413940691
55,0.76,Premium,H,VS2,58.7,61.0,5.99,5.96,3.51,bucket_2,3776.626413940691
56,0.8,Ideal,E,SI1,61.5,58.0,5.96,6.0,3.68,bucket_2,3776.626413940691
57,0.83,Very Good,F,SI1,62.1,58.0,5.98,6.06,3.74,bucket_2,3776.626413940691
58,0.9,Fair,F,SI2,65.7,63.0,6.01,5.96,3.93,bucket_2,3776.626413940691
59,0.76,Ideal,J,SI1,62.9,54.0,5.82,5.85,3.67,bucket_2,3776.626413940691
60,0.84,Very Good,F,VVS2,60.4,62.0,6.1,6.15,3.7,bucket_2,3776.626413940691
61,0.76,Premium,E,SI2,60.8,57.0,5.89,5.85,3.57,bucket_2,3776.626413940691
62,0.9,Ideal,G,VS1,61.6,55.0,6.27,6.23,3.85,bucket_2,3776.626413940691
63,0.91,Premium,F,SI2,60.8,59.0,6.28,6.25,3.81,bucket_2,3776.626413940691
64,0.91,Ideal,E,SI1,61.2,58.0,6.24,6.3,3.84,bucket_2,3776.626413940691
65,0.9,Ideal,H,SI2,62.1,55.0,6.17,6.2,3.84,bucket_2,3776.626413940691
66,0.77,Very Good,D,SI1,62.1,58.0,5.84,5.89,3.64,bucket_2,3776.626413940691
67,0.81,Premium,F,SI1,61.9,58.0,5.99,5.96,3.7,bucket_2,3776.626413940691
68,0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,bucket_2,3776.626413940691
69,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,bucket_2,3776.626413940691
70,0.9,Premium,G,VS2,62.0,60.0,6.19,6.14,3.82,bucket_2,3776.626413940691
71,0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,bucket_2,3776.626413940691
72,0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,bucket_2,3776.626413940691
73,0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,bucket_2,3776.626413940691
74,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,bucket_2,3776.626413940691
75,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,bucket_2,3776.626413940691
76,0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,bucket_2,3776.626413940691
77,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,bucket_2,3776.626413940691
78,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,bucket_2,3776.626413940691
79,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,bucket_2,3776.626413940691
80,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,bucket_2,3776.626413940691
81,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,bucket_2,3776.626413940691
82,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,bucket_2,3776.626413940691
83,0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,bucket_2,3776.626413940691
84,0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,bucket_2,3776.626413940691
85,0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,bucket_2,3776.626413940691
86,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,bucket_2,3776.626413940691
87,0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,bucket_2,3776.626413940691
88,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,bucket_2,3776.626413940691
89,0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,bucket_2,3776.626413940691
90,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,bucket_2,3776.626413940691
91,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,bucket_2,3776.626413940691
92,0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,bucket_2,3776.626413940691
93,0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,bucket_2,3776.626413940691
94,0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,bucket_2,3776.626413940691
95,0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,bucket_2,3776.626413940691
96,0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,bucket_2,3776.626413940691
97,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,bucket_2,3776.626413940691
98,0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,bucket_2,3776.626413940691
99,0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,bucket_2,3776.626413940691
100,0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,bucket_2,3776.626413940691
101,0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,bucket_2,3776.626413940691
102,0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,bucket_2,3776.626413940691
103,0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,bucket_2,3776.626413940691
104,0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,bucket_2,3776.626413940691
105,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,bucket_2,3776.626413940691
106,0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,bucket_2,3776.626413940691
107,0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,bucket_2,3776.626413940691
108,0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,bucket_2,3776.626413940691
109,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,bucket_2,3776.626413940691
110,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,bucket_2,3776.626413940691
111,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,bucket_2,3776.626413940691
112,0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,bucket_2,3776.626413940691
113,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,bucket_2,3776.626413940691
114,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,bucket_2,3776.626413940691
115,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,bucket_2,3776.626413940691
116,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,bucket_2,3776.626413940691
117,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,bucket_2,3776.626413940691
118,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,bucket_2,3776.626413940691
119,0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,bucket_2,3776.626413940691
120,0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,bucket_2,3776.626413940691
121,0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,bucket_2,3776.626413940691
122,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,bucket_2,3776.626413940691
123,0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61,bucket_2,3776.626413940691
124,0.9,Ideal,G,SI1,61.9,55.0,6.18,6.23,3.84,bucket_2,3776.626413940691
125,0.93,Premium,F,SI2,59.5,60.0,6.39,6.36,3.79,bucket_2,3776.626413940691
126,0.9,Good,E,SI2,61.9,62.0,6.14,6.18,3.81,bucket_2,3776.626413940691
127,0.78,Very Good,H,VS1,61.9,57.1,5.87,5.95,3.66,bucket_2,3776.626413940691
128,0.91,Very Good,G,SI1,60.2,58.0,6.29,6.31,3.79,bucket_2,3776.626413940691
129,0.77,Good,D,SI2,63.8,58.0,5.78,5.81,3.7,bucket_2,3776.626413940691
130,0.9,Very Good,D,SI1,59.4,62.0,6.19,6.24,3.69,bucket_2,3776.626413940691
131,0.83,Ideal,I,SI1,61.9,57.0,5.96,6.02,3.71,bucket_2,3776.626413940691
132,0.9,Premium,I,VS2,58.4,62.0,6.35,6.29,3.69,bucket_2,3776.626413940691
133,0.77,Premium,J,VS2,62.3,58.0,5.86,5.8,3.63,bucket_2,3776.626413940691
134,0.9,Ideal,E,SI2,62.0,55.0,6.15,6.23,3.84,bucket_2,3776.626413940691
135,0.9,Good,G,SI1,63.7,60.0,6.07,6.11,3.88,bucket_2,3776.626413940691
136,0.91,Ideal,F,SI1,62.0,57.0,6.22,6.24,3.86,bucket_2,3776.626413940691
137,0.9,Very Good,H,VVS2,63.7,57.0,6.09,6.02,3.86,bucket_2,3776.626413940691
138,0.9,Ideal,D,VS2,63.0,57.0,6.14,6.09,3.85,bucket_2,3776.626413940691
139,0.9,Very Good,D,SI1,62.5,59.0,6.13,6.19,3.85,bucket_2,3776.626413940691
140,0.88,Very Good,I,SI1,62.5,56.0,6.06,6.19,3.83,bucket_2,3776.626413940691
141,0.76,Fair,D,SI2,55.5,69.0,6.16,6.07,3.39,bucket_2,3776.626413940691
142,0.78,Ideal,H,VVS2,62.1,56.0,5.88,5.9,3.66,bucket_2,3776.626413940691
143,0.9,Very Good,I,VS1,62.2,58.0,6.13,6.18,3.83,bucket_2,3776.626413940691
144,0.77,Good,E,SI2,58.1,63.0,6.02,6.06,3.5,bucket_2,3776.626413940691
145,0.78,Very Good,D,SI1,62.5,58.0,5.86,5.89,3.67,bucket_2,3776.626413940691
146,0.84,Very Good,D,SI2,63.6,57.0,5.95,6.0,3.8,bucket_2,3776.626413940691
147,0.91,Ideal,E,VVS1,61.7,56.0,6.18,6.23,3.83,bucket_2,3776.626413940691
148,0.9,Ideal,H,VS1,62.2,58.0,6.14,6.17,3.83,bucket_2,3776.626413940691
149,0.8,Very Good,F,SI1,63.9,56.0,5.84,5.87,3.74,bucket_2,3776.626413940691
150,0.82,Premium,F,SI1,61.1,60.0,6.02,5.96,3.66,bucket_2,3776.626413940691
151,0.93,Good,D,SI2,64.5,58.0,6.11,6.14,3.95,bucket_2,3776.626413940691
152,0.93,Very Good,F,I1,61.3,59.0,6.22,6.27,3.83,bucket_2,3776.626413940691
153,0.9,Fair,D,VS2,57.4,65.0,6.26,6.29,3.6,bucket_2,3776.626413940691
154,0.77,Ideal,J,SI1,61.6,55.0,5.87,5.93,3.63,bucket_2,3776.626413940691
155,0.79,Very Good,D,SI2,62.8,59.0,5.86,5.9,3.69,bucket_2,3776.626413940691
156,0.78,Ideal,D,SI2,61.4,57.0,5.91,5.94,3.64,bucket_2,3776.626413940691
157,0.9,Good,G,VS2,63.9,61.0,5.97,6.01,3.83,bucket_2,3776.626413940691
158,0.91,Premium,G,SI2,61.3,60.0,6.17,6.2,3.79,bucket_2,3776.626413940691
159,0.9,Very Good,E,SI1,63.1,58.0,6.12,6.02,3.83,bucket_2,3776.626413940691
160,0.9,Premium,G,VS2,61.0,58.0,6.2,6.13,3.76,bucket_2,3776.626413940691
161,0.91,Very Good,E,SI2,60.5,59.0,6.26,6.34,3.81,bucket_2,3776.626413940691
162,0.91,Very Good,E,SI2,60.0,60.0,6.23,6.28,3.75,bucket_2,3776.626413940691
163,0.92,Premium,H,SI1,62.0,60.0,6.21,6.27,3.87,bucket_2,3776.626413940691
164,0.91,Good,H,VS2,63.1,59.0,6.13,6.16,3.88,bucket_2,3776.626413940691
165,0.92,Ideal,D,VS2,61.4,56.0,6.26,6.28,3.85,bucket_2,3776.626413940691
166,0.9,Ideal,H,VS1,61.8,56.0,6.18,6.24,3.84,bucket_2,3776.626413940691
167,0.91,Premium,G,SI2,60.1,62.0,6.24,6.2,3.73,bucket_2,3776.626413940691
168,0.85,Ideal,G,SI1,62.2,56.0,6.04,6.09,3.77,bucket_2,3776.626413940691
169,0.8,Fair,G,I1,64.5,57.0,5.86,5.83,3.77,bucket_2,3776.626413940691
170,0.9,Very Good,F,VS2,62.3,59.0,6.1,6.16,3.82,bucket_2,3776.626413940691
171,0.9,Premium,D,SI2,59.2,60.0,6.34,6.3,3.74,bucket_2,3776.626413940691
172,0.91,Ideal,F,SI2,62.4,57.0,6.22,6.18,3.87,bucket_2,3776.626413940691
173,0.78,Very Good,F,SI2,62.4,59.0,5.86,5.91,3.67,bucket_2,3776.626413940691
174,0.9,Very Good,G,SI2,64.2,56.0,6.04,6.11,3.9,bucket_2,3776.626413940691
175,0.95,Very Good,E,SI1,62.8,59.0,6.21,6.25,3.91,bucket_2,3776.626413940691
176,0.81,Very Good,H,VS1,62.2,57.0,5.91,5.94,3.69,bucket_2,3776.626413940691
177,0.9,Ideal,H,VVS2,62.0,57.0,6.15,6.2,3.83,bucket_2,3776.626413940691
178,0.77,Premium,D,VS2,61.3,60.0,5.92,5.89,3.62,bucket_2,3776.626413940691
179,0.76,Very Good,H,IF,62.6,57.0,5.8,5.83,3.64,bucket_2,3776.626413940691
180,0.91,Premium,D,SI2,61.0,61.0,6.24,6.16,3.78,bucket_2,3776.626413940691
181,0.91,Good,E,I1,57.7,63.0,6.35,6.3,3.65,bucket_2,3776.626413940691
182,0.78,Premium,H,SI2,59.7,59.0,6.03,5.97,3.58,bucket_2,3776.626413940691
183,0.76,Ideal,E,VS2,62.1,55.0,5.84,5.88,3.64,bucket_2,3776.626413940691
184,0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,bucket_2,3776.626413940691
185,0.82,Very Good,I,VS1,63.6,58.9,5.88,5.93,3.76,bucket_2,3776.626413940691
186,0.79,Ideal,I,SI2,62.1,56.0,5.92,5.97,3.69,bucket_2,3776.626413940691
187,0.9,Very Good,G,SI1,62.9,56.0,6.11,6.17,3.86,bucket_2,3776.626413940691
188,0.94,Fair,H,SI1,68.4,53.0,6.05,5.97,4.11,bucket_2,3776.626413940691
189,0.91,Very Good,G,VS2,62.3,59.0,6.13,6.17,3.83,bucket_2,3776.626413940691
190,0.9,Ideal,G,SI2,62.7,55.0,6.11,6.17,3.85,bucket_2,3776.626413940691
191,0.9,Premium,I,VS2,61.6,58.0,6.15,6.09,3.77,bucket_2,3776.626413940691
192,0.94,Premium,E,SI1,62.0,58.0,6.24,6.27,3.88,bucket_2,3776.626413940691
193,0.79,Premium,H,VS1,60.0,60.0,6.07,5.99,3.64,bucket_2,3776.626413940691
194,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,bucket_2,3776.626413940691
195,0.86,Ideal,E,SI2,61.8,57.0,6.1,6.13,3.78,bucket_2,3776.626413940691
196,0.9,Fair,I,VVS2,60.9,66.0,6.1,6.12,3.72,bucket_2,3776.626413940691
197,0.91,Very Good,H,VS2,58.3,59.0,6.35,6.47,3.74,bucket_2,3776.626413940691
198,0.9,Good,H,SI2,64.1,58.0,6.05,6.02,3.87,bucket_2,3776.626413940691
199,0.9,Premium,G,SI1,61.9,59.0,6.18,6.13,3.81,bucket_2,3776.626413940691
200,0.86,Very Good,E,VS2,62.3,56.0,6.05,6.08,3.78,bucket_2,3776.626413940691
201,0.76,Ideal,D,SI1,61.2,57.0,5.88,5.91,3.61,bucket_2,3776.626413940691
202,0.92,Very Good,E,SI1,63.3,57.0,6.22,6.17,3.92,bucket_2,3776.626413940691
203,0.9,Very Good,I,SI1,61.4,55.0,6.19,6.28,3.83,bucket_2,3776.626413940691
204,0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,bucket_2,3776.626413940691
205,0.78,Good,E,SI2,63.7,54.0,5.82,5.77,3.69,bucket_2,3776.626413940691
206,0.9,Very Good,I,SI2,60.9,63.0,6.21,6.13,3.76,bucket_2,3776.626413940691
207,0.9,Fair,D,SI2,64.7,59.0,6.09,5.99,3.91,bucket_2,3776.626413940691
208,0.83,Premium,G,SI2,61.6,57.0,6.06,6.02,3.72,bucket_2,3776.626413940691
209,0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,bucket_2,3776.626413940691
210,0.94,Premium,E,SI2,62.4,58.0,6.26,6.33,3.93,bucket_2,3776.626413940691
211,0.84,Very Good,G,VS2,61.8,57.0,6.04,6.07,3.74,bucket_2,3776.626413940691
212,0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,bucket_2,3776.626413940691
213,0.83,Good,H,SI2,63.9,56.0,5.99,5.93,3.81,bucket_2,3776.626413940691
214,0.9,Very Good,F,VVS2,61.0,63.0,6.13,6.09,3.73,bucket_2,3776.626413940691
215,0.91,Premium,D,SI1,63.0,59.0,6.15,6.11,3.86,bucket_2,3776.626413940691
216,0.76,Ideal,F,VS2,61.0,55.0,5.89,5.92,3.6,bucket_2,3776.626413940691
217,0.9,Very Good,F,VS2,64.2,59.0,6.07,6.11,3.91,bucket_2,3776.626413940691
218,0.81,Ideal,H,IF,61.6,58.0,5.98,6.01,3.69,bucket_2,3776.626413940691
219,0.77,Very Good,E,SI2,60.4,58.0,5.91,5.95,3.58,bucket_2,3776.626413940691
220,0.92,Premium,G,SI2,58.4,58.0,6.4,6.34,3.73,bucket_2,3776.626413940691
221,0.82,Fair,F,SI1,64.9,58.0,5.83,5.79,3.77,bucket_2,3776.626413940691
222,0.92,Premium,F,SI2,61.8,58.0,6.19,6.23,3.84,bucket_2,3776.626413940691
223,0.79,Premium,G,VS1,61.3,59.0,5.97,5.91,3.64,bucket_2,3776.626413940691
224,0.9,Premium,D,SI2,58.1,60.0,6.26,6.24,3.63,bucket_2,3776.626413940691
225,0.79,Premium,J,SI1,58.8,62.0,6.03,6.01,3.54,bucket_2,3776.626413940691
226,0.9,Premium,E,SI2,59.5,61.0,6.3,6.24,3.73,bucket_2,3776.626413940691
227,0.9,Good,F,SI2,63.3,57.0,6.08,6.14,3.87,bucket_2,3776.626413940691
228,0.8,Premium,J,SI2,60.2,59.0,6.07,5.95,3.62,bucket_2,3776.626413940691
229,0.9,Good,G,SI1,63.2,59.0,6.05,6.1,3.84,bucket_2,3776.626413940691
230,0.78,Premium,G,SI2,60.6,58.0,6.02,5.99,3.64,bucket_2,3776.626413940691
231,0.85,Ideal,E,SI1,61.8,54.0,6.1,6.14,3.78,bucket_2,3776.626413940691
232,0.82,Ideal,H,VVS2,61.4,56.0,6.01,6.05,3.71,bucket_2,3776.626413940691
233,0.9,Ideal,G,SI2,62.5,56.0,6.15,6.2,3.86,bucket_2,3776.626413940691
234,0.9,Premium,I,SI1,63.0,58.0,6.09,6.01,3.81,bucket_2,3776.626413940691
235,0.9,Very Good,H,SI2,61.2,57.0,6.21,6.27,3.82,bucket_2,3776.626413940691
236,0.9,Fair,E,SI2,65.0,58.0,6.08,6.04,3.94,bucket_2,3776.626413940691
237,0.79,Ideal,E,VS2,59.3,57.0,6.02,6.06,3.58,bucket_2,3776.626413940691
238,0.9,Very Good,D,VS1,58.9,59.0,6.22,6.31,3.69,bucket_2,3776.626413940691
239,0.9,Fair,F,SI2,62.6,58.0,6.01,6.06,3.78,bucket_2,3776.626413940691
240,0.9,Ideal,I,VS1,62.4,57.0,6.17,6.21,3.86,bucket_2,3776.626413940691
241,0.9,Very Good,I,VS2,63.2,56.0,6.15,6.09,3.87,bucket_2,3776.626413940691
242,0.8,Very Good,E,SI2,62.6,59.0,5.84,5.91,3.68,bucket_2,3776.626413940691
243,0.9,Very Good,H,VS1,63.0,62.0,6.09,6.0,3.81,bucket_2,3776.626413940691
244,0.92,Very Good,G,SI1,61.8,54.0,6.25,6.37,3.9,bucket_2,3776.626413940691
245,0.8,Very Good,D,SI1,62.9,60.0,5.89,5.94,3.72,bucket_2,3776.626413940691
246,0.9,Ideal,E,VS2,62.7,56.0,6.14,6.18,3.86,bucket_2,3776.626413940691
247,0.76,Ideal,H,SI1,62.4,55.0,5.87,5.83,3.65,bucket_2,3776.626413940691
248,0.93,Premium,F,SI1,62.5,58.0,6.22,6.19,3.88,bucket_2,3776.626413940691
249,0.91,Very Good,G,SI2,63.4,60.0,6.11,6.06,3.86,bucket_2,3776.626413940691
250,0.8,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69,bucket_2,3776.626413940691
251,0.9,Fair,J,SI1,64.6,61.0,5.92,5.87,3.81,bucket_2,3776.626413940691
252,0.9,Premium,H,SI2,62.1,59.0,6.13,6.04,3.78,bucket_2,3776.626413940691
253,0.91,Premium,F,VS2,62.2,58.0,6.17,6.21,3.85,bucket_2,3776.626413940691
254,0.9,Good,G,SI1,63.9,60.0,6.1,6.07,3.89,bucket_2,3776.626413940691
255,0.9,Premium,E,SI2,59.2,60.0,6.31,6.23,3.71,bucket_2,3776.626413940691
256,0.77,Premium,H,SI1,60.7,58.0,5.95,5.91,3.6,bucket_2,3776.626413940691
257,0.78,Ideal,I,VVS2,62.4,56.0,5.87,5.9,3.67,bucket_2,3776.626413940691
258,0.9,Good,F,VS1,63.3,59.0,6.03,6.07,3.83,bucket_2,3776.626413940691
259,0.82,Premium,G,SI2,62.3,58.0,5.96,5.98,3.72,bucket_2,3776.626413940691
260,0.82,Ideal,E,SI1,61.8,55.0,5.97,6.01,3.7,bucket_2,3776.626413940691
261,0.9,Ideal,F,SI1,61.0,56.0,6.17,6.19,3.77,bucket_2,3776.626413940691
262,0.91,Premium,G,SI1,58.0,59.0,6.45,6.38,3.72,bucket_2,3776.626413940691
263,0.77,Ideal,I,VVS2,62.1,57.0,5.84,5.86,3.63,bucket_2,3776.626413940691
264,0.91,Very Good,J,SI2,62.0,56.0,6.18,6.23,3.85,bucket_2,3776.626413940691
265,0.9,Very Good,E,SI1,60.1,58.0,6.25,6.29,3.77,bucket_2,3776.626413940691
266,0.91,Premium,E,I1,59.6,59.0,6.29,6.32,3.76,bucket_2,3776.626413940691
267,0.92,Ideal,G,SI2,61.9,57.0,6.23,6.25,3.86,bucket_2,3776.626413940691
268,0.9,Very Good,G,VS2,62.4,60.0,6.07,6.11,3.8,bucket_2,3776.626413940691
269,0.9,Good,F,SI1,62.6,58.0,6.1,6.14,3.83,bucket_2,3776.626413940691
270,0.79,Good,I,VS2,58.5,62.0,5.99,6.04,3.52,bucket_2,3776.626413940691
271,0.85,Premium,I,I1,59.6,58.0,6.24,6.14,3.69,bucket_2,3776.626413940691
272,0.92,Very Good,D,SI2,63.3,59.0,6.18,6.12,3.89,bucket_2,3776.626413940691
273,0.87,Ideal,G,I1,61.5,57.0,6.09,6.04,3.73,bucket_2,3776.626413940691
274,0.9,Good,F,SI1,62.9,57.0,6.08,6.13,3.84,bucket_2,3776.626413940691
