carat,cut,color,clarity,depth,table,price,x,y,z
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57
0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6
0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72
0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53
0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64
0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72
0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48
0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54
0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6
0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57
1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83
0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66
0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67
0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57
0.71,Premium,D,SI1,61.6,60.0,2797,5.74,5.69,3.52
0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31
0.51,Ideal,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17
0.72,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55
0.74,Ideal,H,VS1,61.8,58.0,2797,5.77,5.81,3.58
0.74,Ideal,H,VS1,61.6,56.0,2797,5.81,5.82,3.58
0.8,Premium,F,SI2,61.0,57.0,2797,6.03,6.01,3.67
1.01,Fair,E,SI2,67.4,60.0,2797,6.19,6.05,4.13
0.8,Very Good,H,VS2,63.4,60.0,2797,5.92,5.82,3.72
0.77,Ideal,I,VS1,61.5,59.0,2798,5.87,5.91,3.62
0.83,Very Good,E,SI2,58.0,62.0,2799,6.19,6.25,3.61
0.78,Ideal,D,SI1,61.9,57.0,2799,5.91,5.86,3.64
0.6,Very Good,G,IF,61.6,56.0,2800,5.43,5.46,3.35
0.9,Good,I,SI2,62.2,59.0,2800,6.07,6.11,3.79
0.7,Premium,E,VS1,62.2,58.0,2800,5.6,5.66,3.5
0.9,Very Good,I,SI2,61.3,56.0,2800,6.17,6.23,3.8
0.83,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76
0.83,Ideal,G,SI1,61.8,57.0,2800,6.03,6.07,3.74
0.83,Very Good,H,SI1,62.5,59.0,2800,5.95,6.02,3.74
0.74,Premium,G,VS1,62.9,60.0,2800,5.74,5.68,3.59
0.79,Ideal,I,VS1,61.8,59.0,2800,5.92,5.95,3.67
0.61,Ideal,G,IF,62.3,56.0,2800,5.43,5.45,3.39
0.76,Fair,G,VS1,59.0,70.0,2800,5.89,5.8,3.46
0.96,Ideal,F,I1,60.7,55.0,2801,6.37,6.41,3.88
0.73,Ideal,F,VS2,62.5,55.0,2801,5.8,5.76,3.61
0.75,Ideal,H,SI1,60.4,57.0,2801,5.93,5.96,3.59
0.71,Premium,F,VS2,62.1,58.0,2801,5.7,5.67,3.53
0.71,Good,F,VS2,57.8,60.0,2801,5.9,5.87,3.4
0.71,Good,F,VS2,63.8,58.0,2801,5.64,5.61,3.59
0.71,Premium,F,VS2,62.8,57.0,2801,5.69,5.64,3.56
1.0,Premium,J,SI2,62.3,58.0,2801,6.45,6.34,3.98
0.87,Very Good,G,SI2,59.9,58.0,2802,6.19,6.23,3.72
0.72,Premium,E,VS2,63.0,55.0,2802,5.79,5.61,3.59
0.72,Premium,F,VS1,62.4,58.0,2802,5.83,5.7,3.6
0.7,Very Good,F,VS2,62.9,58.0,2803,5.63,5.65,3.55
0.74,Very Good,E,SI1,63.5,56.0,2803,5.74,5.79,3.66
0.71,Ideal,G,VS2,61.3,56.0,2803,5.75,5.71,3.51
0.73,Ideal,E,SI1,60.6,54.0,2803,5.84,5.89,3.55
0.7,Good,G,VS1,65.1,58.0,2803,5.56,5.59,3.63
0.71,Premium,F,VS2,62.6,58.0,2803,5.7,5.67,3.56
0.71,Premium,G,VS1,62.4,61.0,2803,5.7,5.65,3.54
0.77,Premium,G,VS2,61.3,57.0,2803,5.93,5.88,3.62
0.71,Premium,G,VS2,59.9,60.0,2803,5.81,5.77,3.47
0.78,Premium,G,VS2,60.8,58.0,2803,6.03,5.95,3.64
0.71,Very Good,G,VS1,63.5,55.0,2803,5.66,5.64,3.59
0.91,Ideal,D,SI2,62.2,57.0,2803,6.21,6.15,3.85
0.71,Very Good,E,VS2,63.8,58.0,2804,5.62,5.66,3.6
0.8,Very Good,E,SI2,62.5,56.0,2804,5.88,5.96,3.7
0.7,Very Good,D,SI1,62.3,58.0,2804,5.69,5.73,3.56
0.72,Ideal,F,VS1,61.7,57.0,2804,5.74,5.77,3.55
0.72,Very Good,F,VS1,62.2,58.0,2804,5.75,5.7,3.56
0.82,Ideal,H,VS2,61.5,56.0,2804,6.01,6.08,3.72
0.7,Ideal,D,SI1,61.0,59.0,2804,5.68,5.7,3.47
0.72,Ideal,D,SI1,62.2,56.0,2804,5.74,5.77,3.58
0.72,Ideal,D,SI1,61.5,54.0,2804,5.77,5.8,3.56
0.9,Fair,I,SI1,67.3,59.0,2804,5.93,5.84,3.96
0.74,Premium,F,VS2,61.7,58.0,2805,5.85,5.78,3.59
0.74,Premium,F,VS2,61.9,56.0,2805,5.8,5.77,3.58
0.73,Ideal,E,SI2,61.8,58.0,2805,5.77,5.81,3.58
0.57,Fair,E,VVS1,58.7,66.0,2805,5.34,5.43,3.16
0.73,Premium,F,VS2,62.5,57.0,2805,5.75,5.7,3.58
0.72,Ideal,G,VS2,62.8,56.0,2805,5.74,5.7,3.59
0.74,Fair,F,VS2,61.1,68.0,2805,5.82,5.75,3.53
0.82,Good,G,VS2,64.0,57.0,2805,5.92,5.89,3.78
0.75,Very Good,H,VVS1,60.6,58.0,2806,5.85,5.9,3.56
0.7,Ideal,F,SI1,61.6,55.0,2806,5.72,5.74,3.53
0.71,Very Good,F,VS1,62.2,58.0,2807,5.66,5.72,3.54
0.71,Very Good,F,VS1,60.0,57.0,2807,5.84,5.9,3.52
0.93,Premium,J,SI2,61.9,57.0,2807,6.21,6.19,3.84
0.8,Very Good,H,VS2,62.8,57.0,2808,5.87,5.91,3.7
0.7,Very Good,F,VS1,62.0,57.0,2808,5.64,5.71,3.52
0.75,Very Good,G,VS2,63.4,56.0,2808,5.78,5.74,3.65
0.58,Ideal,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3
0.73,Very Good,D,SI1,63.1,57.0,2808,5.74,5.7,3.61
0.81,Very Good,F,SI1,63.1,59.0,2809,5.85,5.79,3.67
0.81,Premium,D,SI2,59.2,57.0,2809,6.15,6.05,3.61
0.71,Premium,F,SI1,60.7,54.0,2809,5.84,5.8,3.53
1.2,Fair,F,I1,64.6,56.0,2809,6.73,6.66,4.33
0.7,Very Good,F,VS1,61.8,56.0,2810,5.63,5.7,3.5
0.7,Very Good,F,VS1,59.9,60.0,2810,5.77,5.84,3.48
0.74,Ideal,D,SI2,61.7,55.0,2810,5.81,5.85,3.6
0.7,Good,F,VS1,62.8,61.0,2810,5.57,5.61,3.51
0.8,Good,G,SI1,62.7,57.0,2810,5.84,5.93,3.69
0.75,Very Good,F,SI1,63.4,58.0,2811,5.72,5.76,3.64
0.83,Very Good,D,SI1,63.5,54.0,2811,5.98,5.95,3.79
1.0,Fair,J,VS2,65.7,59.0,2811,6.14,6.07,4.01
0.99,Fair,I,SI2,68.1,56.0,2811,6.21,6.06,4.18
0.7,Very Good,G,VS1,63.0,60.0,2812,5.57,5.64,3.53
0.7,Very Good,F,VS2,59.5,58.0,2812,5.75,5.85,3.45
0.7,Good,E,SI1,63.5,59.0,2812,5.49,5.53,3.5
0.7,Very Good,F,VS2,61.7,58.0,2812,5.63,5.69,3.49
0.32,Premium,I,SI1,62.7,58.0,554,4.37,4.34,2.73
0.32,Premium,I,SI1,62.8,58.0,554,4.39,4.34,2.74
0.32,Ideal,I,SI1,62.4,57.0,554,4.37,4.35,2.72
0.32,Premium,I,SI1,61.0,59.0,554,4.39,4.36,2.67
0.32,Very Good,I,SI1,63.1,56.0,554,4.39,4.36,2.76
0.32,Ideal,I,SI1,60.7,57.0,554,4.47,4.42,2.7
0.3,Premium,H,SI1,60.9,59.0,554,4.31,4.29,2.62
0.3,Premium,H,SI1,60.1,55.0,554,4.41,4.38,2.64
0.3,Premium,H,SI1,62.9,58.0,554,4.28,4.24,2.68
0.3,Very Good,H,SI1,63.3,56.0,554,4.29,4.27,2.71
0.3,Good,H,SI1,63.8,55.0,554,4.26,4.2,2.7
0.3,Very Good,H,SI1,63.4,60.0,554,4.25,4.23,2.69
